YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.OriginalHBaseClient -P /home/hadoop/git/schema_design/YCSB_PhoenixClient/workloads/thin_table_workload -p columnfamily=cf -p readproportion=0.5 -p insertproportion=0.5 -t -threads 20 -s
Loading workload...
initializing original coreworkload...
initializing fat table workload...
Starting test.
 0 sec: 0 operations; 
 10 sec: 0 operations; 
 20 sec: 0 operations; 
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/home/hadoop/git/schema_design/lib/phoenix-4.1.0-client.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/home/hadoop/git/schema_design/YCSB_PhoenixClient/hbase/target/hbase-binding-0.1.4.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:host.name=yahoo024.nicl.cs.duke.edu
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:java.version=1.6.0_32
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:java.vendor=Sun Microsystems Inc.
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:java.home=/usr/lib/jvm/java-6-openjdk-amd64/jre
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:java.class.path=../lib/phoenix-4.1.0-client.jar:core/target/core-0.1.4.jar:hbase/target/hbase-binding-0.1.4.jar:distribution/target/ycsb-0.1.4.tar.gz:jdbc/target/jdbc-binding-0.1.4.jar:hbase/src/main/conf/
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:java.library.path=/usr/lib/jvm/java-6-openjdk-amd64/jre/lib/amd64/server:/usr/lib/jvm/java-6-openjdk-amd64/jre/lib/amd64:/usr/lib/jvm/java-6-openjdk-amd64/jre/../lib/amd64:/usr/java/packages/lib/amd64:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:java.io.tmpdir=/tmp
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:java.compiler=<NA>
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:os.name=Linux
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:os.arch=amd64
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:os.version=3.13.0-34-generic
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:user.name=hadoop
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:user.home=/home/hadoop
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Client environment:user.dir=/home/hadoop/git/schema_design/YCSB_PhoenixClient
14/09/22 21:58:40 INFO zookeeper.ZooKeeper: Initiating client connection, connectString=yahoo008.nicl.cs.duke.edu:2181,yahoo007.nicl.cs.duke.edu:2181,yahoo006.nicl.cs.duke.edu:2181,yahoo005.nicl.cs.duke.edu:2181 sessionTimeout=90000 watcher=hconnection-0x3bcb55c5, quorum=yahoo008.nicl.cs.duke.edu:2181,yahoo007.nicl.cs.duke.edu:2181,yahoo006.nicl.cs.duke.edu:2181,yahoo005.nicl.cs.duke.edu:2181, baseZNode=/hbase
14/09/22 21:58:40 INFO zookeeper.RecoverableZooKeeper: Process identifier=hconnection-0x3bcb55c5 connecting to ZooKeeper ensemble=yahoo008.nicl.cs.duke.edu:2181,yahoo007.nicl.cs.duke.edu:2181,yahoo006.nicl.cs.duke.edu:2181,yahoo005.nicl.cs.duke.edu:2181
14/09/22 21:58:40 INFO zookeeper.ClientCnxn: Opening socket connection to server slave3/152.3.144.178:2181. Will not attempt to authenticate using SASL (unknown error)
14/09/22 21:58:40 INFO zookeeper.ClientCnxn: Socket connection established to slave3/152.3.144.178:2181, initiating session
14/09/22 21:58:40 INFO zookeeper.ClientCnxn: Session establishment complete on server slave3/152.3.144.178:2181, sessionid = 0x348a03491a60009, negotiated timeout = 90000
 30 sec: 74670 operations; 7461.78 current ops/sec; [INSERT AverageLatency(us)=9090.28] [READ AverageLatency(us)=6780.72] 
 40 sec: 202936 operations; 12824.04 current ops/sec; [INSERT AverageLatency(us)=2165.15] [READ AverageLatency(us)=603.58] 
 50 sec: 326874 operations; 12393.8 current ops/sec; [INSERT AverageLatency(us)=2108.27] [READ AverageLatency(us)=710.61] 
 60 sec: 428791 operations; 10190.68 current ops/sec; [INSERT AverageLatency(us)=2732.01] [READ AverageLatency(us)=766.32] 
 70 sec: 535742 operations; 10695.1 current ops/sec; [INSERT AverageLatency(us)=2542.44] [READ AverageLatency(us)=675.37] 
 80 sec: 654224 operations; 11847.02 current ops/sec; [INSERT AverageLatency(us)=2265.27] [READ AverageLatency(us)=745.26] 
 90 sec: 779075 operations; 12485.1 current ops/sec; [INSERT AverageLatency(us)=2023.53] [READ AverageLatency(us)=733.15] 
 100 sec: 879098 operations; 10002.3 current ops/sec; [INSERT AverageLatency(us)=2852.74] [READ AverageLatency(us)=699.42] 
 110 sec: 976424 operations; 9731.63 current ops/sec; [INSERT AverageLatency(us)=2840.92] [READ AverageLatency(us)=820.09] 
 120 sec: 1088269 operations; 11183.38 current ops/sec; [INSERT AverageLatency(us)=2336.06] [READ AverageLatency(us)=795.14] 
 130 sec: 1202709 operations; 11442.86 current ops/sec; [INSERT AverageLatency(us)=2254.81] [READ AverageLatency(us)=793.07] 
 140 sec: 1291005 operations; 8829.6 current ops/sec; [INSERT AverageLatency(us)=2334.75] [READ AverageLatency(us)=781.85] 
 150 sec: 1329748 operations; 3873.91 current ops/sec; [INSERT AverageLatency(us)=4682.53] [READ AverageLatency(us)=7378.7] 
 160 sec: 1434875 operations; 10512.7 current ops/sec; [INSERT AverageLatency(us)=2567.1] [READ AverageLatency(us)=790.72] 
 170 sec: 1542500 operations; 10762.5 current ops/sec; [INSERT AverageLatency(us)=2473.43] [READ AverageLatency(us)=801.17] 
 180 sec: 1635656 operations; 9312.81 current ops/sec; [INSERT AverageLatency(us)=3068.73] [READ AverageLatency(us)=785.76] 
 190 sec: 1731882 operations; 9621.64 current ops/sec; [INSERT AverageLatency(us)=2631.73] [READ AverageLatency(us)=707.79] 
 200 sec: 1763621 operations; 3173.9 current ops/sec; [INSERT AverageLatency(us)=12676.28] [READ AverageLatency(us)=642.93] 
 210 sec: 1868333 operations; 10470.15 current ops/sec; [INSERT AverageLatency(us)=2720.2] [READ AverageLatency(us)=654.48] 
 220 sec: 1966566 operations; 9823.3 current ops/sec; [INSERT AverageLatency(us)=2828.34] [READ AverageLatency(us)=811.64] 
 230 sec: 2080683 operations; 11410.56 current ops/sec; [INSERT AverageLatency(us)=2375.53] [READ AverageLatency(us)=680.96] 
 240 sec: 2187568 operations; 10688.5 current ops/sec; [INSERT AverageLatency(us)=2575.06] [READ AverageLatency(us)=729.63] 
 250 sec: 2292960 operations; 10538.15 current ops/sec; [INSERT AverageLatency(us)=2628.42] [READ AverageLatency(us)=710.55] 
 260 sec: 2405281 operations; 11232.1 current ops/sec; [INSERT AverageLatency(us)=2395.81] [READ AverageLatency(us)=714.22] 
 270 sec: 2516347 operations; 11106.6 current ops/sec; [INSERT AverageLatency(us)=2358.14] [READ AverageLatency(us)=801.82] 
 280 sec: 2607206 operations; 9084.99 current ops/sec; [INSERT AverageLatency(us)=3173.48] [READ AverageLatency(us)=783.94] 
 290 sec: 2695938 operations; 8873.2 current ops/sec; [INSERT AverageLatency(us)=3074.28] [READ AverageLatency(us)=822.6] 
 300 sec: 2808097 operations; 11214.78 current ops/sec; [INSERT AverageLatency(us)=2446.24] [READ AverageLatency(us)=814.43] 
 310 sec: 2902591 operations; 9449.4 current ops/sec; [INSERT AverageLatency(us)=2984.31] [READ AverageLatency(us)=800.16] 
 320 sec: 3013496 operations; 11089.39 current ops/sec; [INSERT AverageLatency(us)=2369.47] [READ AverageLatency(us)=799.14] 
 330 sec: 3093203 operations; 7970.7 current ops/sec; [INSERT AverageLatency(us)=3399.73] [READ AverageLatency(us)=923.48] 
 340 sec: 3175380 operations; 8216.88 current ops/sec; [INSERT AverageLatency(us)=3840.21] [READ AverageLatency(us)=834.57] 
